model;url
Motorola Moto Z;https://www.trocafone.com/celulares/motorola/moto-z/moto-z1/m/moto-z1-dual#885-motorola-moto-z-branco-excelente-5
Samsung Galaxy S3 Duos;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s3/m/galaxy-s3-duos#886-samsung-galaxy-s3-duos-azul-bom-15
Motorola Moto G5 ;https://www.trocafone.com/celulares/motorola/moto-g/moto-g5/m/moto-g5-dual
Motorola Moto G5 Plus;https://www.trocafone.com/celulares/motorola/moto-g/moto-g5/m/moto-g5-plus#891-motorola-moto-g5-plus-platinum-bom-15
LG L80 Dual;https://www.trocafone.com/celulares/lg/lg-l/m/lg-l80-dual
Samsung Galaxy Gran Neo Duos;https://www.trocafone.com/celulares/samsung/m/galaxy-gran-neo-duos
Samsung Galaxy Gran Neo Plus Duos;https://www.trocafone.com/celulares/samsung/m/galaxy-gran-neo-plus-duos
Motorola Moto Z Play;https://www.trocafone.com/celulares/motorola/moto-z/moto-z1/m/moto-z-play#899-motorola-moto-z-play-preto-bom-15
Samsung Galaxy S8;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s8/m/galaxy-s8#905-samsung-galaxy-s8-ametista-bom-15
Samsung Galaxy S8 Plus;https://www.trocafone.com/celulares/samsung/galaxy-s/galaxy-s8/m/galaxy-s8-plus#945-samsung-galaxy-s8-plus-64gb-dourado-bom-15
Asus Zenfone 3 Max 16 GB;https://www.trocafone.com/celulares/asus/zenfone-3/m/zenfone-3-max-16gb
Asus Zenfone 3 Max  32 GB;https://www.trocafone.com/celulares/asus/zenfone-3/m/zenfone-3-max-32gb
Samsung Galaxy Note 8;https://www.trocafone.com/celulares/samsung/galaxy-note/galaxy-note-8/m/galaxy-note8
iPhone 8;https://www.trocafone.com/celulares/iphone/m/iphone-8#949-iphone-8-64gb-prateado-bom-15
iPhone 8 Plus;https://www.trocafone.com/celulares/iphone/m/iphone-8-plus#953-iphone-8-plus-64gb-cinza-espacial-bom-15
Asus Live;https://www.trocafone.com/celulares/asus/m/asus-live
Asus Zenfone Selfie;https://www.trocafone.com/celulares/asus/m/zenfone-selfie
Asus Zenfone 2;https://www.trocafone.com/celulares/asus/zenfone-2/m/zenfone-2
Asus Zenfone 2 Deluxe;https://www.trocafone.com/celulares/asus/zenfone-2/m/zenfone-2-deluxe
Asus Zenfone 2 Laser;https://www.trocafone.com/celulares/asus/zenfone-2/m/zenfone-2-laser
Asus Zenfone 5;https://www.trocafone.com/celulares/asus/m/zenfone-5
Asus Zenfone 6;https://www.trocafone.com/celulares/asus/m/zenfone-6
Asus Zenfone Go;https://www.trocafone.com/celulares/asus/m/zenfone-go
Motorola Moto Z Power Edition;https://www.trocafone.com/celulares/motorola/moto-z/moto-z1/m/moto-z-power-edition
"Asus Zenfone 2 Laser 6""";https://www.trocafone.com/celulares/asus/zenfone-2/m/zenfone-2-laser-6
Quantum Muv Up;https://www.trocafone.com/celulares/quantum/m/muv-up
Quantum YOU;https://www.trocafone.com/celulares/quantum/m/you
Motorola Moto G5S Plus;https://www.trocafone.com/celulares/motorola/moto-g/moto-g5s/m/moto-g5s-plus
Motorola Moto G5S;https://www.trocafone.com/celulares/motorola/moto-g/moto-g5s/m/moto-g5s-dual
Samsung Galaxy J7 PRO;https://www.trocafone.com/celulares/samsung/galaxy-j/galaxy-j7/m/galaxy-j7-pro
Samsung Galaxy J5 PRO;https://www.trocafone.com/celulares/samsung/galaxy-j/galaxy-j5/m/galaxy-j5-pro
Samsung Galaxy J7 Neo;https://www.trocafone.com/celulares/samsung/galaxy-j/galaxy-j7/m/galaxy-j7-neo
LG K10 Novo;https://www.trocafone.com/celulares/lg/lg-k/lg-k10/m/k10-novo
iPhone X;https://www.trocafone.com/celulares/iphone/m/iphone-x#1054-iphone-x-64gb-cinza-espacial-bom-15
Motorola Moto Z2 Play;https://www.trocafone.com/celulares/motorola/moto-z/moto-z2/m/moto-z2-play#1144-motorola-moto-z2-play-64gb-azul-topazio-bom-15
Motorola Moto Z2 Force;https://www.trocafone.com/celulares/motorola/moto-z/moto-z2/m/moto-z2-force#1164-motorola-moto-z2-force-64gb-onix-bom-15
